"StateName","State","Single","SEX","CountWithWeight","TotalCountWithWeight","Perc","ActualPop","ExpectedCount2015"
"Missouri","MO","Single","Male",1154107,6044171,19,6083672,1155898
"Minnesota","MN","Single","Male",1013993,5420380,19,5489594,1043023
"Kentucky","KY","Single","Male",838428,4395295,19,4425092,840767
"Kansas","KS","Single","Female",559121,2893957,19,2911641,553212
"Indiana","IN","Single","Male",1251332,6570902,19,6619680,1257739
"Arkansas","AR","Single","Male",550034,2959373,19,2978204,565859
"Alaska","AK","Single","Female",138593,735132,19,738432,140302
"Alabama","AL","Single","Male",936367,4833722,19,4858979,923206
"Wyoming","WY","Single","Female",107320,582658,18,586107,105499
"Wyoming","WY","Single","Male",107583,582658,18,586107,105499
"Nebraska","NE","Single","Male",334101,1868516,18,1896190,341314
"Kansas","KS","Single","Male",523572,2893957,18,2911641,524095
"Iowa","IA","Single","Male",566180,3090416,18,3123899,562302
"Idaho","ID","Single","Female",289343,1612136,18,1654930,297887
"Idaho","ID","Single","Male",276590,1612136,17,1654930,281338
"Utah","UT","Single","Male",467633,2900872,16,2995919,479347
"Utah","UT","Single","Female",476184,2900872,16,2995919,479347
